stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding 
zeromskiego-01,Żeromskiego 01,52.059312,20.414266,0,0
poznanska-02,Poznańska 02,52.05887,20.416621,0,0
poznanska-01,Poznańska 01,52.058694,20.417961,0,0
krzywa-02,Krzywa 02,52.058247,20.419977,0,0
krzywa-01,Krzywa 01,52.058068,20.421426,0,0
piastowska-02,Piastowska 02,52.057429,20.424446,0,0
piastowska-01,Piastowska 01,52.057225,20.425727,0,0
wittenberga-02,Wittenberga 02,52.055378,20.427531,0,0
wittenberga-01,Wittenberga 01,52.055773,20.42794,0,0
szarych-szeregow-01,Szarych Szeregów 01,52.054126,20.426989,0,0
szarych-szeregow-02,Szarych Szeregów 02,52.053802,20.427178,0,0
sikorskiego-02,Sikorskiego 02,52.051004,20.429948,0,0
sikorskiego-01,Sikorskiego 01,52.051079,20.430007,0,0
roosevelta-01,Roosevelta 01,52.052501,20.428724,0,0
maczka-01,Maczka 01,52.049707,20.431248,0,0
maczka-02,Maczka 02,52.048023,20.432502,0,0
radziwillowska-02,Radziwiłłowska 02,52.048281,20.435545,0,0
radziwillowska-01,Radziwiłłowska 01,52.049468,20.439132,0,0
zus-01,ZUS 01,52.050959,20.44276,0,0
zus-02,ZUS 02,52.050966,20.44296,0,0
dworzec-pkp-01,Dworzec PKP 01,52.052346,20.447215,0,0
dworzec-pkp-02,Dworzec PKP 02,52.052364,20.447602,0,0
dzialki-mlynska-02,Działki Młyńska 02,52.065094,20.406433,0,0
dzialki-mlynska-01,Działki Młyńska 01,52.065129,20.406834,0,0
dzialki-osp-02,Działki OSP 02,52.067526,20.39694,0,0
dzialki-osp-01,Działki OSP 01,52.067665,20.396698,0,0
dzialki-male-02,Działki Małe 02,52.071399,20.394203,0,0
dzialki-male-01,Działki Małe 01,52.071201,20.394215,0,0
wiskitki-folus-01,Wiskitki Folus 01,52.075836,20.392502,0,0
wiskitki-folus-02,Wiskitki Folus 02,52.076199,20.392405,0,0
wiskitki-szkola-02,Wiskitki Szkoła 02,52.081093,20.386731,0,0
wiskitki-szkola-01,Wiskitki Szkoła 01,52.080881,20.386805,0,0
wiskitki-plac-wolnosci-01,Wiskitki Plac Wolności 01,52.086795,20.383317,0,0
dzialki-osp-51,Działki OSP 51,52.06621,20.393704,0,0
wiskitki-szkola-51,Wiskitki Szkoła 51,52.082386,20.38524,0,0
mostowa-01,Mostowa 01,52.048744,20.422946,0,0
sosabowskiego-01,Sosabowskiego 01,52.050445,20.426912,0,0
konarskiego-01,Konarskiego 01,52.052978,20.426615,0,0
mostowa-02,Mostowa 02,52.051058,20.429443,0,0
limanowskiego-02,Limanowskiego 02,52.054232,20.429615,0,0
limanowskiego-01,Limanowskiego 01,52.054978,20.431538,0,0
dittricha-01,Dittricha 01,52.055842,20.434014,0,0
armii-krajowej-01,Armii Krajowej 01,52.056759,20.43582,0,0
szpital-02,Szpital 02,52.05828,20.439747,0,0
szpital-01,Szpital 01,52.058602,20.440304,0,0
partyzantow-pdt-01,Partyzantów PDT 01,52.055994,20.44514,0,0
partyzantow-pdt-02,Partyzantów PDT 02,52.056245,20.444734,0,0
bohaterow-warszawy-01,Bohaterów Warszawy 01,52.056247,20.454375,0,0
bohaterow-warszawy-02,Bohaterów Warszawy 02,52.056645,20.453825,0,0
mireckiego-01,Mireckiego 01,52.059095,20.451246,0,0
mireckiego-02,Mireckiego 02,52.059123,20.451042,0,0
srodkowa-01,Środkowa 01,52.06171,20.448303,0,0
srodkowa-02,Środkowa 02,52.061504,20.448376,0,0
spokojna-01,Spokojna 01,52.063443,20.446294,0,0
spokojna-02,Spokojna 02,52.063396,20.446197,0,0
filipa-de-girarda-02,Filipa de Girarda 02,52.065532,20.444128,0,0
filipa-de-girarda-01,Filipa de Girarda 01,52.065889,20.443934,0,0
kpt-palaca-01,Kpt Pałaca 01,52.068013,20.440667,0,0
kpt-palaca-02,Kpt Pałaca 02,52.06785,20.440507,0,0
skrowaczewskiego-01,Skrowaczewskiego 01,52.068007,20.434545,0,0
skrowaczewskiego-02,Skrowaczewskiego 02,52.067721,20.436151,0,0
spoldzielcza-01,Spółdzielcza 01,52.068771,20.429418,0,0
spoldzielcza-02,Spółdzielcza 02,52.068616,20.429772,0,0
nietrzebki-01,Nietrzebki 01,52.072082,20.436106,0,0
nietrzebki-02,Nietrzebki 02,52.071946,20.436067,0,0
parkingowa-01,Parkingowa 01,52.072281,20.438609,0,0
parkingowa-02,Parkingowa 02,52.072232,20.4396,0,0
parkingowa-garaze-01,Parkingowa Garaże 01,52.070174,20.444727,0,0
nowe-kozlowice-01,Nowe Kozłowice 01,52.082788,20.433042,0,0
nowe-kozlowice-zakret-01,Nowe Kozłowice Zakręt 01,52.087212,20.424922,0,0
stare-kozlowice-01,Stare Kozłowice 01,52.072088,20.419943,0,0
kacperskiej-01,Kacperskiej 01,52.068679,20.442744,0,0
zalew-zyrardowski-01,Zalew Żyrardowski 01,52.037133,20.45065,0,0
1-maja-01,1 Maja 01,52.056525,20.437292,0,0
mireckiego-dekada-02,Mireckiego Dekada 02,52.054822,20.440253,0,0
