trip_id,route_id,service_id,trip_headsign,direction_id,shape_id
0-4853,0,A,Zalew,0,0-ZAL
0-5169,0,A,Zalew,0,0-ZAL
0-5174,0,A,Zalew,0,0-ZAL
0-5188,0,A,Zalew,0,0-ZAL
0-5189,0,A,Spółdzielcza,1,0-SPO
0-5190,0,A,Spółdzielcza,1,0-SPO
0-5191,0,A,Spółdzielcza,1,0-SPO
0-5192,0,A,Spółdzielcza,1,0-SPO
0-4786,0,A,Zalew,0,0-ZLW
0-4787,0,A,Zalew,0,0-ZLW
0-5124,0,A,Zalew,0,0-ZLW
0-5126,0,A,Żeromskiego,1,0-ZER
0-5129,0,A,Żeromskiego,1,0-ZER
0-5143,0,A,Żeromskiego,1,0-ZER
1-4504,1,D,Dworzec PKP,0,1-PKP
1-4524,1,D,Dworzec PKP,0,1-PKP
1-4513,1,D,Dworzec PKP,0,1-PKP
1-4514,1,D,Dworzec PKP,0,1-PKP
1-4525,1,D,Dworzec PKP,0,1-PKP
1-4528,1,D,Dworzec PKP,0,1-PKP
1-4529,1,D,Dworzec PKP,0,1-PKP
1-4531,1,D,Dworzec PKP,0,1-PKP
1-4534,1,D,Dworzec PKP,0,1-PKP
1-4535,1,D,Dworzec PKP,0,1-PKP
1-4536,1,D,Spółdzielcza,1,1-SPO
1-4537,1,D,Spółdzielcza,1,1-SPO
1-4538,1,D,Spółdzielcza,1,1-SPO
1-4539,1,D,Spółdzielcza,1,1-SPO
1-4540,1,D,Spółdzielcza,1,1-SPO
1-4543,1,D,Spółdzielcza,1,1-SPO
1-4891,1,D,Spółdzielcza,1,1-SPO
1-4890,1,D,Spółdzielcza,1,1-SPO
1-4892,1,D,Spółdzielcza,1,1-SPO
1-4893,1,D,Spółdzielcza,1,1-SPO
1-4894,1,D,Spółdzielcza,1,1-SPO
2-40,2,E,Spółdzielcza,0,2-SPO
2-119,2,E,Spółdzielcza,0,2-SPO
2-4547,2,D,Spółdzielcza,0,2-SPO
2-4552,2,D,Spółdzielcza,0,2-SPO
2-4554,2,D,Spółdzielcza,0,2-SPO
2-4556,2,D,Spółdzielcza,0,2-SPO
2-4561,2,D,Spółdzielcza,0,2-SPO
2-4563,2,D,Spółdzielcza,0,2-SPO
2-4576,2,D,Spółdzielcza,0,2-SPO
2-4577,2,D,Spółdzielcza,0,2-SPO
2-6345,2,C,Spółdzielcza,0,2-SPO
2-6346,2,C,Spółdzielcza,0,2-SPO
2-4546,2,A,Spółdzielcza,0,2-SPO
2-4549,2,A,Spółdzielcza,0,2-SPO
2-4550,2,A,Spółdzielcza,0,2-SPO
2-4551,2,A,Spółdzielcza,0,2-SPO
2-4553,2,A,Spółdzielcza,0,2-SPO
2-4555,2,A,Spółdzielcza,0,2-SPO
2-4557,2,A,Spółdzielcza,0,2-SPO
2-4558,2,A,Spółdzielcza,0,2-SPO
2-4559,2,A,Spółdzielcza,0,2-SPO
2-4560,2,A,Spółdzielcza,0,2-SPO
2-4562,2,A,Spółdzielcza,0,2-SPO
2-4564,2,A,Spółdzielcza,0,2-SPO
2-4565,2,A,Spółdzielcza,0,2-SPO
2-4566,2,A,Spółdzielcza,0,2-SPO
2-4567,2,A,Spółdzielcza,0,2-SPO
2-4568,2,A,Spółdzielcza,0,2-SPO
2-4569,2,A,Spółdzielcza,0,2-SPO
2-4570,2,A,Spółdzielcza,0,2-SPO
2-4571,2,A,Spółdzielcza,0,2-SPO
2-4572,2,A,Spółdzielcza,0,2-SPO
2-4573,2,A,Spółdzielcza,0,2-SPO
2-4574,2,A,Spółdzielcza,0,2-SPO
2-4575,2,A,Spółdzielcza,0,2-SPO
2-4910,2,D,Żeromskiego,1,2-ZER
2-4578,2,E,Żeromskiego,1,2-ZER
2-4580,2,E,Żeromskiego,1,2-ZER
2-4581,2,A,Żeromskiego,1,2-ZER
2-4582,2,D,Żeromskiego,1,2-ZER
2-4583,2,A,Żeromskiego,1,2-ZER
2-4584,2,A,Żeromskiego,1,2-ZER
2-4585,2,A,Żeromskiego,1,2-ZER
2-4586,2,D,Żeromskiego,1,2-ZER
2-4587,2,A,Żeromskiego,1,2-ZER
2-6347,2,C,Żeromskiego,1,2-ZER
2-4588,2,D,Żeromskiego,1,2-ZER
2-4589,2,A,Żeromskiego,1,2-ZER
2-4590,2,D,Żeromskiego,1,2-ZER
2-6348,2,C,Żeromskiego,1,2-ZER
2-4591,2,A,Żeromskiego,1,2-ZER
2-4592,2,D,Żeromskiego,1,2-ZER
2-4593,2,A,Żeromskiego,1,2-ZER
2-4594,2,D,Żeromskiego,1,2-ZER
2-4595,2,D,Żeromskiego,1,2-ZER
2-4596,2,A,Żeromskiego,1,2-ZER
